timestamp,source,level,ip_address,user,message,details,log_type
2024-01-15 08:23:11,firewall-01,INFO,192.168.1.100,admin,Connection allowed,port=443 proto=TCP action=ALLOW,firewall
2024-01-15 08:25:33,webserver-01,WARNING,10.0.0.45,anonymous,SQL injection attempt detected,GET /login?id=1' OR '1'='1,web_server
2024-01-15 08:30:05,auth-server,ERROR,172.16.0.22,john.doe,Failed login attempt,reason=invalid_password attempt=3,authentication
2024-01-15 08:35:19,firewall-01,CRITICAL,45.33.32.156,unknown,Port scan detected,ports=22,23,80,443,445 src=45.33.32.156,network
2024-01-15 08:40:02,endpoint-01,INFO,192.168.1.55,jane.smith,Process started,process=chrome.exe pid=4521,endpoint
2024-01-15 08:45:17,webserver-02,ERROR,203.0.113.42,anonymous,XSS attack attempt,GET /search?q=<script>alert(1)</script>,web_server
2024-01-15 09:00:00,auth-server,INFO,192.168.1.101,alice.wong,Successful login,src_ip=192.168.1.101 method=password,authentication
2024-01-15 09:05:44,firewall-01,WARNING,198.51.100.77,unknown,Blocked outbound connection,dst=malware.badsite.com port=4444,firewall
2024-01-15 09:10:29,network-monitor,INFO,10.0.0.0/24,system,Normal traffic baseline,throughput=450Mbps,network
2024-01-15 09:15:03,endpoint-02,WARNING,192.168.2.10,bob.jones,Suspicious file created,file=C:\Temp\payload.exe,endpoint
2024-01-15 09:20:55,webserver-01,INFO,10.0.1.5,api_user,API request processed,endpoint=/api/v1/data status=200,web_server
2024-01-15 09:25:41,auth-server,ERROR,198.51.100.88,root,Brute force attack,attempts=50 in=60s blocked=true,authentication
2024-01-15 09:30:18,firewall-01,INFO,192.168.1.200,system,Rule updated,rule_id=1042 action=deny dst_port=23,firewall
2024-01-15 09:35:07,endpoint-03,CRITICAL,192.168.3.15,charlie.brown,Ransomware behavior detected,files_encrypted=127 process=svchost.exe,endpoint
2024-01-15 09:40:33,network-monitor,WARNING,10.0.0.88,system,Unusual data exfiltration,bytes_out=2.1GB dst=104.21.45.67,network
2024-01-15 09:45:22,webserver-02,INFO,192.168.1.77,dave.miller,Login page accessed,method=GET status=200,web_server
2024-01-15 10:00:11,auth-server,INFO,192.168.1.102,emily.chen,Password changed,user=emily.chen src_ip=192.168.1.102,authentication
2024-01-15 10:05:49,firewall-01,CRITICAL,185.220.101.34,unknown,TOR exit node blocked,src=185.220.101.34 dst=192.168.1.50,firewall
2024-01-15 10:10:38,endpoint-01,INFO,192.168.1.55,jane.smith,USB device inserted,device=SanDisk 32GB serial=4A2F9B,endpoint
2024-01-15 10:15:14,network-monitor,CRITICAL,10.0.0.0/24,system,DDoS attack detected,pps=850000 src_ips=multiple,network
2024-01-15 10:20:05,webserver-01,WARNING,203.0.113.99,anonymous,Directory traversal attempt,GET /../../etc/passwd,web_server
2024-01-15 10:25:30,auth-server,INFO,192.168.1.103,frank.lee,MFA completed,method=totp user=frank.lee,authentication
2024-01-15 10:30:17,firewall-01,WARNING,192.0.2.45,unknown,Suspicious DNS query,query=c2.evil-domain.net type=A,firewall
2024-01-15 10:35:03,endpoint-04,ERROR,192.168.4.20,grace.kim,Malware detected and quarantined,file=invoice.pdf.exe hash=d41d8cd98f00b204,endpoint
2024-01-15 10:40:55,network-monitor,INFO,172.16.0.0/16,system,VPN connection established,user=remote_user src=66.249.80.1,network
2024-01-15 11:00:22,webserver-02,ERROR,45.33.32.200,anonymous,CSRF attack attempt,token_mismatch=true endpoint=/transfer,web_server
2024-01-15 11:05:09,auth-server,WARNING,192.168.1.104,henry.taylor,Account locked,reason=too_many_failures user=henry.taylor,authentication
2024-01-15 11:10:44,firewall-01,INFO,192.168.1.0/24,system,Firewall policy applied,policy=corporate_standard rules=247,firewall
2024-01-15 11:15:33,endpoint-05,WARNING,192.168.5.25,iris.wang,Keylogger activity suspected,process=winlogon.exe hooks=keyboard,endpoint
2024-01-15 11:20:18,network-monitor,WARNING,10.0.0.77,system,Lateral movement detected,src=192.168.1.55 dst=192.168.2.10,network
